Opponent,Results,Score,PlusMinus
Colgate,L, 80_75 ,-4.8
Providence,L, 76_47 ,-10
Cornell,W, 59_58 ,-9.7
Wagner,W, 88_69 ,10.7
Binghamton,L, 77_75 ,6.9
Brown,L, 79_63 ,-12.6
Rutgers,L, 85_58 ,-9.2
Army,L, 75_65 ,-5.2
UCF,L, 78_65 ,-12.1
UMass Lowell,L, 72_66 ,-3
St. Francis NY,L, 73_71 ,-1.5
Kean,W, 74_46 ,-
Connecticut,L, 69_47 ,-13.3
Liberty,L, 65_38 ,-8.8
Jacksonville,L, 68_52 ,-5.6
North Florida,W, 78_66 ,7.8
Lipscomb,W, 75_57 ,11.2
Kennesaw St.,W, 66_48 ,9.5
Stetson,L, 65_64 ,7.7
Florida Gulf Coast,W, 56_54 ,5
North Alabama,L, 78_74 ,-1
North Florida,L, 82_75 ,-9.9
Jacksonville,L, 65_54 ,-4.9
Lipscomb,L, 77_63 ,-8.9
Liberty,L, 62_49 ,-1.5
Stetson,W, 78_69 ,8.7
Florida Gulf Coast,L, 55_39 ,-7.5
North Alabama,L, 72_65 ,-2.5
Kennesaw St.,W, 76_55 ,15.1
Liberty,L, 55_49 ,-7.4
