Opponent,Results,Score,PlusMinus
Kansas St.,L, 67_54 ,-2.3
Mayville St.,W, 93_53 ,-
Cal Poly,W, 74_67 ,1.9
UT Rio Grande Valley,W, 76_70 ,3.3
Texas A&M Corpus Chris,W, 57_45 ,6.6
Stony Brook,L, 64_57 ,-1.9
Utah Valley,L, 68_62 ,-5.1
Idaho,W, 70_53 ,3
Indiana St.,L, 71_60 ,-8.6
East Tennessee St.,W, 78_68 ,7.4
Cal St. Northridge,W, 71_62 ,4.5
Montana St.,W, 79_65 ,4.9
Marquette,L, 82_68 ,-4.3
Denver,W, 66_55 ,2.7
Western Illinois,W, 94_74 ,12.6
Northland,W, 97_43 ,-
Oral Roberts,L, 79_73 ,-3.9
South Dakota,W, 72_70 ,-1.1
North Dakota,W, 83_74 ,5.3
South Dakota St.,L, 78_73 ,-6.5
Denver,W, 82_70 ,8.2
Western Illinois,W, 70_49 ,7.7
Fort Wayne,W, 71_60 ,1.8
Nebraska Omaha,W, 86_78 ,3.4
Oral Roberts,W, 83_76 ,5.4
Fort Wayne,W, 80_70 ,7.3
South Dakota,W, 77_74 ,3.3
North Dakota,L, 71_68 ,0.5
South Dakota St.,W, 71_69 OT,-0.6
Nebraska Omaha,W, 87_67 ,11.8
Denver,W, 71_69 ,2.1
Oral Roberts,W, 75_69 ,2.9
North Dakota,W, 89_53 ,18.7
