Opponent,Results,Score,PlusMinus
Florida,L, 74_59 ,-12.6
Florida National,W, 89_81 ,-
Georgia Southern,W, 80_77 ,4.4
Southern Miss,W, 66_63 ,2.7
Trinity Baptist,W, 115_39 ,-
Iowa,L, 83_68 ,-5.3
Creighton,L, 76_67 ,-1.8
LIU Brooklyn,W, 95_92 ,-1.4
Tennessee St.,L, 81_73 ,-6.8
High Point,W, 93_70 ,10.5
Austin Peay,L, 90_83 ,-2
Southern Miss,W, 72_69 ,4.8
Florida St.,L, 98_81 ,-10.4
Syracuse,L, 82_70 ,-3.4
Dayton,L, 77_59 ,-11.6
Kennesaw St.,W, 76_57 ,9.6
North Alabama,W, 81_65 ,10.4
Florida Gulf Coast,W, 89_74 ,9.5
NJIT,L, 78_66 ,-7.8
Jacksonville,W, 75_68 ,4.1
Liberty,W, 71_70 ,3.1
Lipscomb,L, 85_73 ,-1.5
Stetson,W, 78_65 ,6.9
Kennesaw St.,W, 86_45 ,24.3
NJIT,W, 82_75 ,9.9
Florida Gulf Coast,W, 69_60 ,4.4
Jacksonville,W, 81_66 ,4.6
North Alabama,W, 80_67 ,10.4
Liberty,L, 82_77 ,-6.1
Lipscomb,W, 82_74 ,10.9
Stetson,W, 85_72 ,1
Jacksonville,W, 91_88 ,4.2
Lipscomb,L, 73_71 ,-3.7
