Opponent,Results,Score,PlusMinus
Boston University,W, 72_67 ,-0.7
Harvard,W, 84_79 ,10.2
Massachusetts,L, 80_71 ,-0.5
Old Dominion,L, 76_69 ,-5.5
Holy Cross,W, 101_44 ,26.9
South Alabama,L, 74_62 ,-4.3
Drake,L, 59_56 ,-0.8
Weber St.,W, 79_69 ,13.1
Maine,W, 78_63 ,6.4
Davidson,L, 70_63 ,-4.8
Eastern Michigan,L, 60_55 ,-2.1
Detroit,W, 74_61 ,6.1
Towson,W, 61_45 ,10.8
James Madison,W, 88_72 ,7.4
Elon,W, 77_68 ,4.1
William & Mary,L, 66_64 ,-4.1
Hofstra,L, 74_72 ,-7.7
College of Charleston,W, 79_76 ,-5.3
UNC Wilmington,L, 76_74 OT,3.8
Drexel,W, 85_52 ,20.8
Delaware,L, 76_74 ,5.3
William & Mary,L, 59_58 ,2.8
Elon,L, 74_69 ,-2.1
Hofstra,L, 75_71 ,6.3
UNC Wilmington,W, 71_63 ,10.7
College of Charleston,W, 65_51 ,3.8
Delaware,L, 70_48 ,-18.5
Drexel,W, 77_68 ,4.2
James Madison,W, 77_57 ,13.5
Towson,L, 75_72 ,-1.1
Towson,W, 72_62 ,6.1
Elon,W, 68_60 ,12.1
Hofstra,L, 70_61 ,1.1
