Opponent,Results,Score,PlusMinus
Arizona,L, 91_52 ,-14
SAGU American Indian,W, 105_32 ,-
Benedictine Mesa,W, 93_56 ,-
South Dakota,W, 76_72 ,3.2
UC Davis,L, 85_66 ,-5.6
Nebraska Omaha,W, 73_65 ,8.8
Utah Valley,W, 79_73 ,0.2
UC Riverside,W, 63_56 ,2.1
Pepperdine,L, 75_73 ,2.1
Montana,L, 79_72 ,1.4
Montana St.,L, 63_61 ,-3.1
Weber St.,W, 72_64 ,4.1
Sacramento St.,L, 64_57 ,-10.3
Idaho St.,L, 71_67 ,-8
Southern Utah,W, 75_72 ,-1.2
Northern Colorado,W, 64_58 ,-0.3
Portland St.,W, 84_82 ,-6.2
Sacramento St.,W, 69_54 ,4.6
Idaho,W, 77_72 ,3.6
Eastern Washington,L, 77_66 ,-5
Idaho St.,W, 88_87 OT,1
Weber St.,L, 76_70 ,-7.4
Northern Colorado,L, 84_54 ,-9.8
Southern Utah,W, 82_69 ,1.7
Idaho,W, 78_61 ,14
Eastern Washington,L, 80_70 ,-4.5
Montana,W, 57_56 ,-3.1
Montana St.,L, 63_57 ,-9.9
Portland St.,L, 80_66 ,-3.6
Idaho St.,L, 64_62 ,-2.4
