Opponent,Results,Score,PlusMinus
UC Clermont,W, 105_55 ,-
Missouri,L, 71_56 ,-8.2
Coastal Carolina,W, 69_68 ,1.4
Coppin St.,W, 82_70 ,7.2
Ball St.,W, 59_57 ,-0.7
Texas Southern,L, 98_96 2OT,-0.2
Midway,W, 86_56 ,-
Arkansas,L, 66_60 ,-1.2
Miami OH,W, 76_54 ,4.7
Eastern Kentucky,W, 76_57 ,0.5
Illinois St.,W, 79_64 ,6.8
UNC Greensboro,L, 67_50 ,-10
Milwaukee,W, 74_64 ,5.5
Green Bay,L, 73_59 ,-12.1
Detroit,L, 66_58 ,-1.8
Oakland,W, 75_64 ,2.3
Illinois Chicago,W, 68_52 ,1.3
IUPUI,W, 96_71 ,8.8
Youngstown St.,W, 88_63 ,11.3
Cleveland St.,W, 75_49 ,12.2
Wright St.,L, 95_63 ,-16.5
Green Bay,W, 71_62 ,-0.7
Milwaukee,W, 65_56 ,9
Oakland,W, 73_70 ,1.8
Detroit,W, 84_65 ,7.5
IUPUI,W, 84_70 ,3.6
Illinois Chicago,L, 73_43 ,-17.1
Cleveland St.,W, 73_59 ,7.2
Youngstown St.,W, 61_59 ,5.3
Wright St.,L, 64_62 ,-5.1
Green Bay,W, 80_69 ,-0.7
Illinois Chicago,W, 71_62 ,8.4
