Opponent,Results,Score,PlusMinus
North Carolina,L, 76_65 ,-4.3
Robert Morris,W, 92_57 ,14.7
Howard,W, 79_50 ,14
Marshall,W, 74_64 ,8.4
Presbyterian,W, 63_53 ,5
Toledo,W, 64_62 OT,-0.9
Fairleigh Dickinson,W, 91_66 ,13.8
Maryland,L, 72_51 ,-6.7
Boston College,L, 73_72 ,-7.3
Detroit,W, 110_71 ,13.3
UCLA,W, 75_61 ,9.4
Indiana,L, 62_60 ,-6.5
Alabama A&M,W, 82_56 ,12.9
Syracuse,W, 88_87 ,0.7
North Carolina St.,L, 73_68 ,4.5
Louisville,L, 67_64 ,-4.1
Georgia Tech,W, 78_74 ,0.7
Syracuse,L, 84_82 ,-2
Florida St.,L, 85_84 ,-5.7
Wake Forest,W, 90_80 ,0.8
Georgia Tech,W, 80_72 ,2.7
Pittsburgh,W, 80_72 ,6.8
Clemson,W, 61_57 ,1
Virginia,L, 50_49 OT,0.9
Duke,L, 94_60 ,-8.9
North Carolina,W, 77_76 ,-1.7
Miami FL,W, 87_71 ,9.6
Boston College,W, 62_61 ,-3.3
Wake Forest,L, 84_73 ,-5.5
Florida St.,L, 73_71 ,5.5
Virginia Tech,W, 64_56 ,7.9
Boston College,W, 80_58 ,9.9
