Opponent,Results,Score,PlusMinus
Paul Quinn,W, 95_57 ,-
Mississippi St.,L, 67_58 ,7.2
Central Michigan,L, 84_77 ,5
LeTourneau,W, 88_58 ,-
San Francisco,L, 90_81 ,-9.6
Cal St. Bakersfield,W, 74_65 ,3.8
Randall,W, 86_51 ,-
UT Rio Grande Valley,L, 90_86 2OT,2.9
Louisiana Tech,W, 71_68 ,-2.7
Wiley,W, 91_58 ,-
Northwestern St.,W, 92_79 ,7
New Orleans,W, 87_79 ,6.1
Rice,W, 75_61 ,6.2
McNeese St.,W, 94_75 ,11.7
Nicholls St.,L, 70_58 ,-7.6
Southeastern Louisiana,W, 67_62 ,-5
Central Arkansas,L, 89_82 ,-1.2
Lamar,W, 80_75 OT,-1.9
Houston Baptist,W, 95_75 ,11.5
Abilene Christian,W, 82_76 OT,0.9
Texas A&M Corpus Chris,W, 80_61 ,12.1
Stephen F. Austin,L, 81_76 ,2.7
Incarnate Word,L, 72_71 OT,-4.9
Nicholls St.,L, 88_82 ,-8
Southeastern Louisiana,W, 79_70 ,6.7
Central Arkansas,W, 82_67 ,10.5
Lamar,L, 77_65 ,-5.1
Houston Baptist,W, 77_73 ,7.2
Abilene Christian,L, 85_69 ,-9.9
Texas A&M Corpus Chris,L, 71_60 ,-6.4
Stephen F. Austin,L, 68_57 ,-1.5
