Opponent,Results,Score,PlusMinus
Hofstra,W, 79_71 ,-0.9
Portland,L, 72_57 ,-4.9
Arizona,L, 87_39 ,-11.6
Simpson (CA),W, 85_60 ,-
Grambling St.,W, 83_76 ,3.2
Portland St.,L, 91_76 ,-10.3
Oregon St.,L, 83_48 ,-15
UCLA,L, 93_64 ,-14
Utah St.,L, 71_59 ,-5
San Diego St.,L, 59_57 ,-6.3
Stanford,L, 78_58 ,-10.4
Santa Clara,L, 89_84 ,-10.1
UC Riverside,L, 80_65 ,-2.6
Pepperdine,W, 83_68 ,7.9
New Mexico,W, 88_85 ,5
Fresno St.,L, 79_64 ,-2.9
Nevada,W, 70_68 ,-0.7
Colorado St.,L, 81_70 ,-3.6
UNLV,L, 98_87 ,-8.7
New Mexico,L, 86_59 ,-11.4
Air Force,W, 90_81 ,5
Boise St.,L, 99_71 ,-10.5
Wyoming,L, 71_66 ,-0.1
Nevada,L, 95_77 ,-13.7
Fresno St.,L, 84_78 OT,-5.5
Air Force,L, 95_86 ,-11.3
Boise St.,L, 80_62 ,-6
Colorado St.,L, 78_71 ,-1.8
Utah St.,L, 94_56 ,-26.7
UNLV,L, 92_69 ,-9.1
New Mexico,L, 79_66 ,-11.6
