Opponent,Results,Score,PlusMinus
Wagner,W, 105_71 ,11
Stony Brook,W, 74_57 ,4
Michigan St.,L, 76_73 ,-1.6
Saint Louis,W, 83_66 ,13.3
Florida A&M,W, 87_51 ,11.4
Oregon,L, 71_69 ,5.7
Southern Miss,W, 81_56 ,9.3
Iowa St.,W, 84_76 ,0.5
Iowa St.,L, 76_66 ,-0.5
Rutgers,L, 68_48 ,-15.3
Maryland,W, 52_48 ,7.5
Prairie View A&M,W, 75_55 ,2.7
DePaul,W, 74_66 ,-3.1
Georgetown,W, 78_62 ,11.1
Xavier,W, 83_71 ,6.6
Marquette,W, 69_55 ,1.8
Butler,W, 78_70 ,-1.5
St. John's,W, 82_79 ,-3.5
Providence,W, 73_64 ,4.5
DePaul,W, 64_57 ,1.2
Xavier,L, 74_62 ,-12
Georgetown,W, 78_71 ,8.6
Villanova,W, 70_64 ,3.3
Creighton,L, 87_82 ,-1.1
Providence,L, 74_71 ,-10.7
Butler,W, 74_72 ,2.8
St. John's,W, 81_65 ,11.3
Marquette,W, 88_79 ,11.2
Villanova,L, 79_77 ,-3.6
Creighton,L, 77_60 ,-1.6
