Opponent,Results,Score,PlusMinus
Arkansas Pine Bluff,W, 70_41 ,8.4
Boston College,L, 74_60 ,-4.6
IUPUI,L, 70_53 ,-1.8
Wofford,W, 69_55 ,12.6
Loyola Chicago,W, 66_55 ,-4.5
New Mexico St.,L, 65_45 ,-6.9
Nebraska,L, 74_67 ,-0.1
Furman,W, 65_55 ,3.4
Dartmouth,W, 63_44 ,5.7
Drexel,W, 81_61 ,4.3
Utah St.,L, 76_74 OT,-2.3
Florida St.,L, 66_60 ,4.7
Florida Atlantic,W, 60_58 ,2.7
SMU,L, 82_64 ,-13.1
Connecticut,W, 75_60 ,6.1
East Carolina,L, 62_59 ,-4.7
Memphis,L, 68_64 ,4.2
UCF,L, 55_54 ,0.2
Wichita St.,L, 56_43 ,-2.4
Houston,L, 68_49 ,-7.1
Tulane,W, 66_52 ,1.1
UCF,W, 64_48 ,9.7
Memphis,W, 75_73 ,2.6
Houston,L, 62_58 ,-4.9
Tulsa,L, 56_48 ,-6.4
Wichita St.,L, 65_55 ,-2
Connecticut,L, 78_71 ,-3
East Carolina,W, 73_68 OT,-0.5
Temple,W, 64_58 ,3.4
Cincinnati,L, 79_67 ,2.5
SMU,W, 61_60 ,-3.8
