Opponent,Results,Score,PlusMinus
Mercer,W, 109_79 ,17.6
Central Connecticut,W, 87_57 ,10.2
New Hampshire,W, 74_61 ,0.7
Vermont,L, 70_68 ,-2.3
Columbia,W, 82_63 ,15.1
Arizona St.,L, 80_67 ,1.1
Massachusetts,W, 78_63 ,1.2
Wagner,W, 86_63 ,15.8
Saint Peter's,W, 79_69 ,15.4
West Virginia,W, 70_68 ,2.1
Brown,W, 82_71 ,10.1
Albany,W, 85_57 ,11.7
Arizona,W, 70_67 ,8.6
Butler,L, 60_58 ,-6.5
Xavier,L, 75_67 ,-3.7
Georgetown,L, 87_66 ,-15.6
DePaul,W, 74_67 ,4
Providence,L, 63_58 ,-2.6
Seton Hall,L, 82_79 ,3.5
Marquette,L, 82_68 ,-3.3
DePaul,W, 79_66 ,2.8
Villanova,L, 79_59 ,-6.2
Georgetown,L, 73_72 ,5.1
Creighton,L, 94_82 ,-6.6
Providence,W, 80_69 ,7.6
Xavier,L, 77_74 ,-1.4
Seton Hall,L, 81_65 ,-11.3
Villanova,L, 71_60 ,-6.8
Creighton,W, 91_71 ,5.1
Butler,L, 77_55 ,-2.6
Marquette,W, 88_86 ,9.5
Georgetown,W, 75_62 ,-3.7
