Opponent,Results,Score,PlusMinus
Montana,W, 73_62 ,3.2
Cal St. Fullerton,W, 70_54 ,10.8
Long Beach St.,W, 86_58 ,18.5
Santa Clara,W, 82_64 ,4.3
Maryland Eastern Shore,W, 76_55 ,17.9
William & Mary,W, 81_50 ,11.7
Oklahoma,W, 73_54 ,12.5
Butler,L, 68_67 ,-2.3
UNC Wilmington,W, 72_54 ,15.2
San Jose St.,W, 78_58 ,10.4
San Francisco,W, 64_56 ,-3.5
San Diego,W, 62_59 ,0.5
Kansas,L, 72_56 ,-11.6
California,W, 68_52 ,6.5
Washington,W, 61_55 ,-4.9
Washington St.,W, 88_62 ,20.6
UCLA,W, 74_59 ,4.8
USC,L, 82_78 OT,6.7
California,L, 52_50 ,1.1
Oregon St.,L, 68_63 ,-3.6
Oregon,W, 70_60 ,-2.8
Utah,L, 64_56 OT,-4.8
Colorado,L, 81_74 ,2.3
Arizona St.,L, 74_69 ,-6.6
Arizona,L, 69_60 ,-5.4
Washington,W, 72_64 ,1.8
Washington St.,W, 75_57 ,7.5
Utah,W, 70_62 ,9.5
Colorado,W, 72_64 ,6.5
Oregon St.,L, 68_65 ,-3.1
Oregon,L, 80_67 ,-6.7
California,L, 63_51 ,-7
