Opponent,Results,Score,PlusMinus
San Diego St.,L, 77_42 ,-22.7
Wichita St.,L, 69_63 ,1
South Dakota,L, 88_69 ,-13.2
Arkansas,L, 82_51 ,-14.2
Northern Kentucky,W, 98_96 2OT,0.2
Montana,L, 74_62 ,-4.7
Lamar,W, 76_73 ,-0.2
Gonzaga,L, 101_62 ,-16.5
Concordia (TX),W, 85_47 ,-
Nevada,L, 91_73 ,-7
Oregon,L, 84_78 ,1
Arizona St.,L, 98_81 ,-10.7
Texas A&M,L, 58_55 ,-3
Southern,W, 77_68 ,1.4
Alcorn St.,L, 95_80 ,-5.3
Prairie View A&M,W, 71_67 ,1.7
Jackson St.,W, 77_66 ,8.7
Grambling St.,W, 68_61 ,3.2
Mississippi Valley St.,W, 80_67 ,6.6
Arkansas Pine Bluff,W, 68_57 ,1.3
Alabama A&M,W, 82_73 ,2.9
Alabama St.,L, 79_55 ,-8.5
Prairie View A&M,L, 69_59 ,-3.1
Jackson St.,W, 77_74 ,-5.5
Grambling St.,W, 93_79 ,4.7
Mississippi Valley St.,W, 94_92 ,0.5
Arkansas Pine Bluff,L, 74_72 OT,-2.8
Alabama A&M,W, 85_58 ,17.9
Alabama St.,W, 78_73 ,-2.7
Southern,L, 89_74 ,-11.7
Alcorn St.,L, 90_75 ,-5.6
Grambling St.,W, 75_62 ,9.5
