Opponent,Results,Score,PlusMinus
George Washington,W, 72_58 ,5.8
Bryn Athyn,W, 100_31 ,-
Kent St.,L, 84_80 OT,-0.4
Florida,L, 66_60 ,-0.7
Xavier,L, 73_51 ,-9.6
Buffalo,L, 76_73 ,1.5
Saint Joseph's,W, 76_64 ,10
Morgan St.,W, 76_59 ,5.1
Vermont,L, 55_38 ,-6.6
UMBC,W, 77_71 ,0.2
Liberty,L, 66_54 ,-1.7
Tulane,W, 86_82 OT,3.1
Northeastern,L, 61_45 ,-10.8
Hofstra,L, 75_67 ,-0.8
College of Charleston,L, 81_69 ,-4.5
UNC Wilmington,W, 67_60 ,3.4
Drexel,W, 89_73 ,15.7
Delaware,W, 84_68 ,13.7
James Madison,W, 69_61 ,7.1
Elon,W, 72_61 ,0.6
William & Mary,W, 70_58 ,5.4
UNC Wilmington,W, 77_66 ,6.1
College of Charleston,L, 79_70 ,1.3
Delaware,L, 84_78 ,-8.5
Drexel,W, 76_69 ,-1.4
James Madison,W, 63_48 ,6.3
William & Mary,L, 61_51 ,-6.2
Elon,W, 84_71 ,10
Hofstra,W, 76_65 ,3.3
Northeastern,W, 75_72 ,1.1
Northeastern,L, 72_62 ,-6.1
