Opponent,Results,Score,PlusMinus
Toledo,W, 79_77 ,-0.4
Saint Louis,L, 81_70 ,-6
SIU Edwardsville,W, 89_76 ,2.5
North Dakota,W, 74_60 ,7
Grand Canyon,W, 78_74 ,1.4
Nevada,L, 84_59 ,-14.7
Cincinnati,L, 81_77 OT,0.1
Trinity Christian,W, 98_71 ,-
Eastern Michigan,L, 85_79 ,-3.2
Central Michigan,W, 77_55 ,10.4
Charlotte,L, 67_57 ,-5.6
High Point,W, 87_72 ,2.7
Arkansas,L, 72_68 ,-1.4
Loyola Chicago,L, 66_63 ,-6.2
Evansville,W, 81_79 OT,2.8
Southern Illinois,L, 63_50 ,-4.7
Drake,W, 66_61 ,-0.2
Northern Iowa,L, 88_78 ,-3.1
Indiana St.,W, 86_77 ,-1.9
Missouri St.,L, 67_60 ,-11.6
Evansville,W, 67_65 ,8.8
Bradley,L, 80_69 ,-8.6
Illinois St.,W, 80_70 ,3.2
Northern Iowa,L, 63_51 ,-11.1
Loyola Chicago,L, 70_68 ,-5.1
Southern Illinois,W, 55_38 ,8.9
Illinois St.,W, 65_62 ,-7.2
Drake,L, 77_75 OT,-5.9
Bradley,W, 90_78 ,-1.3
Missouri St.,W, 89_74 ,6
Indiana St.,L, 71_58 ,-10.2
Evansville,W, 58_55 ,3.5
Loyola Chicago,W, 74_73 OT,-6
Missouri St.,W, 89_82 ,3.8
Bradley,L, 80_66 ,-2.4
