Opponent,Results,Score,PlusMinus
East Tennessee St.,W, 70_47 ,10.2
Austin Peay,W, 80_72 ,13.6
Nebraska Omaha,W, 70_58 ,4.8
Howard Payne,W, 81_51 ,-
Tarleton St.,W, 69_48 ,9.3
Texas Tech,L, 51_44 ,-4.2
McMurry,W, 83_46 ,-
Hardin-Simmons,W, 95_73 ,-
Arkansas,L, 85_72 ,-13.7
Dallas Christian,W, 82_44 ,-
Lamar,W, 83_65 ,7.8
Houston Baptist,W, 66_63 ,4.8
Southeastern Louisiana,W, 76_42 ,19.8
Sam Houston St.,L, 64_57 ,-6.9
Central Arkansas,W, 93_58 ,12.6
Stephen F. Austin,W, 82_62 ,2.9
Incarnate Word,W, 75_67 ,0.6
Lamar,W, 77_62 ,7
Texas A&M Corpus Chris,W, 82_69 ,3.3
Houston Baptist,W, 88_59 ,18.9
Texas A&M Corpus Chris,W, 83_55 ,17.5
Sam Houston St.,W, 86_72 ,1.8
Central Arkansas,L, 84_82 ,5.7
Stephen F. Austin,W, 63_61 ,-1.9
Incarnate Word,-15.4, 72_5794%,
