Opponent,Results,Score,PlusMinus
Saint Joseph's,W, 96_91 OT,3.9
Gonzaga,L, 90_67 ,-13.4
UCF,L, 63_55 ,-5.7
South Alabama,W, 90_81 ,14.6
Memphis,W, 74_71 ,-1.1
Texas Southern,W, 80_63 ,5.4
Troy,W, 77_41 ,20.3
Appalachian St.,W, 67_53 ,3.7
Arkansas,L, 97_85 ,-4.6
Texas A&M,L, 68_66 ,-5
Mississippi,L, 72_61 ,-10.6
Alabama,L, 94_90 ,-3.4
Georgia,W, 95_77 ,10.8
Kentucky,W, 66_59 ,-0.2
Arkansas,L, 75_73 ,4.6
South Carolina,W, 109_86 ,11.6
Missouri,W, 88_82 ,4.1
Baylor,L, 84_72 ,-7.5
Georgia,L, 91_86 ,-6.9
Mississippi,L, 86_84 OT,4
Vanderbilt,W, 73_67 ,0.3
Kentucky,L, 82_80 ,-0.5
LSU,L, 104_80 ,-14.2
Florida,L, 74_57 ,-14.1
Tennessee,W, 77_72 ,2.9
Alabama,L, 70_58 ,-9.3
Mississippi St.,-1, 69_6854%,
