Opponent,Results,Score,PlusMinus
Houston,L, 68_58 ,-11
Sam Houston St.,W, 86_55 ,12
Col. of Idaho,W, 86_49 ,-
BYU,W, 74_70 ,7.6
Weber St.,W, 70_59 ,4.9
New Mexico,W, 77_53 ,7.8
New Mexico,W, 89_52 ,17.7
San Jose St.,W, 106_54 ,20.7
San Jose St.,W, 87_86 ,3.9
Air Force,W, 78_59 ,8.2
Air Force,W, 80_69 ,1
Wyoming,W, 83_60 ,9.8
Wyoming,W, 90_70 ,15.4
Fresno St.,W, 73_51 ,-1.1
Colorado St.,L, 78_56 ,-7.7
Colorado St.,W, 85_77 ,6.1
Nevada,L, 74_72 ,1.4
Nevada,L, 73_62 ,-1.7
UNLV,W, 78_66 ,7.9
UNLV,W, 61_59 ,2
Utah St.,W, 79_70 ,1.7
Utah St.,W, 81_77 ,-2.3
San Diego St.,L, 78_66 OT,-8.6
San Diego St.,L, 62_58 ,-3.5
Fresno St.,L, 67_64 ,-1.7
