Opponent,Results,Score,PlusMinus
N.C. Wesleyan,W, 117_68 ,-
Columbia Int'l,W, 113_56 ,-
North Carolina Central,W, 78_71 ,1.5
Greensboro,W, 103_45 ,-
Wofford,L, 88_77 ,-5.3
Delaware St.,W, 99_73 ,6.2
Alice Lloyd,W, 86_63 ,-
Georgia St.,W, 81_69 ,6.5
Georgia St.,L, 70_62 ,-8.8
South Alabama,W, 78_65 ,-3.2
South Alabama,W, 83_69 ,15.5
Georgia St.,L, 71_68 ,3.2
Troy,W, 90_81 ,-3.6
Troy,W, 70_65 ,-2.6
Georgia Southern,W, 79_62 ,6.2
Georgia Southern,L, 61_58 ,-5.5
South Alabama,L, 71_65 ,-4.7
South Alabama,L, 70_66 ,-4.2
Georgia Southern,W, 65_55 ,-1.6
Troy,W, 75_59 ,5.2
Troy,W, 76_71 ,5.3
