Opponent,Results,Score,PlusMinus
North Dakota St.,W, 69_58 ,9.2
Nebraska Omaha,W, 94_67 ,16.1
Kennesaw St.,W, 93_58 ,18.6
Kansas,L, 73_72 ,-1.8
Nebraska,W, 98_74 ,6.5
Marquette,L, 89_84 ,0.5
St. John's,W, 94_76 ,8.9
Connecticut,W, 76_74 OT,2.4
Xavier,W, 66_61 ,0
Providence,W, 67_65 ,3.7
Seton Hall,W, 89_53 ,12.1
St. John's,W, 97_79 ,11.4
Butler,L, 70_66 OT,0.7
Providence,L, 74_70 ,-8
Connecticut,W, 74_66 ,4.2
Seton Hall,W, 85_81 ,-5.1
DePaul,W, 69_62 ,1.9
Georgetown,L, 86_79 ,-5.1
Marquette,W, 71_68 ,3.2
Georgetown,W, 63_48 ,11
Villanova,W, 86_70 ,7.2
DePaul,W, 77_53 ,6.9
Xavier,L, 77_69 ,-4.2
Villanova,L, 72_60 ,-10.9
Butler,-11.4, 72_6088%,
