Opponent,Results,Score,PlusMinus
Providence,L, 97_56 ,-9.9
Hartford,L, 66_61 ,-1.9
Stony Brook,L, 72_69 OT,1.3
Hartford,L, 67_54 ,0.1
Iona,L, 70_42 ,-10
Iona,W, 67_52 ,10.8
Niagara,L, 68_51 ,-8.7
Niagara,L, 81_61 ,-4.8
Fairleigh Dickinson,L, 69_65 ,-3.5
Rider,L, 70_62 ,-7.3
Rider,W, 72_56 ,1.9
Siena,L, 74_58 ,-9.2
Siena,L, 75_68 ,-2.4
Marist,L, 73_63 ,-7
Marist,W, 55_52 ,6.5
Quinnipiac,L, 78_63 ,-11.5
Quinnipiac,W, 77_70 ,5.3
Saint Peter's,W, 55_50 ,-4.5
Saint Peter's,L, 66_49 ,-7.1
Canisius,L, 80_69 ,1.3
Canisius,W, 66_53 ,9.3
Manhattan,+4.1, 63_5931%,
Manhattan,+4.1, 63_5931%,
