Opponent,Results,Score,PlusMinus
North Florida,W, 86_58 ,13.6
Indiana,W, 69_67 OT,1.3
Florida,W, 83_71 ,6.3
Georgia Tech,W, 74_61 ,6
UCF,L, 86_74 ,-0.3
Gardner Webb,W, 72_59 ,2.4
Clemson,L, 77_67 ,-0.3
North Carolina St.,W, 105_73 ,18.4
North Carolina,W, 82_75 ,3.9
Louisville,W, 78_65 ,12.9
Clemson,W, 80_61 ,16
Miami FL,W, 81_59 ,11.9
Georgia Tech,L, 76_65 ,-3.6
Wake Forest,W, 92_85 OT,3.3
Virginia,W, 81_60 ,12.9
Pittsburgh,W, 79_72 ,5.6
Miami FL,W, 88_71 ,15.2
North Carolina,L, 78_70 ,2.1
Boston College,W, 93_64 ,13.7
Notre Dame,-7.8, 81_7376%,
