Opponent,Results,Score,PlusMinus
Davidson,L, 82_73 ,-2.8
Elon,L, 76_75 ,4.3
North Florida,W, 85_74 ,7.3
UNC Asheville,L, 80_67 ,-11.2
UNC Asheville,L, 90_84 OT,-0.5
William & Mary,W, 71_49 ,14.2
Eastern Kentucky,L, 86_67 ,-12.3
USC Upstate,W, 63_52 ,5.7
USC Upstate,L, 60_51 ,1.6
Longwood,L, 75_54 ,-12.6
Longwood,L, 67_54 ,-1.3
Presbyterian,W, 81_57 ,13.9
Presbyterian,L, 71_56 ,-2.4
Gardner Webb,W, 59_55 ,2.1
Gardner Webb,W, 72_69 ,-2
Hampton,W, 72_58 ,6.3
Hampton,L, 76_71 ,3.1
Charleston Southern,W, 77_73 ,-9.8
Charleston Southern,L, 69_68 ,3.2
Winthrop,L, 76_70 ,0.2
Winthrop,L, 71_63 ,-4.8
Campbell,L, 68_48 ,-12.6
USC Upstate,W, 65_60 ,3.9
Winthrop,L, 83_54 ,-17
