Opponent,Results,Score,PlusMinus
Sacramento St.,L, 77_55 ,-5
Sacramento St.,L, 73_57 ,-7.5
Washington St.,L, 61_58 ,1.8
Cal St. Bakersfield,L, 76_66 ,-9.3
Utah,L, 79_41 ,-17.7
Northern Arizona,L, 78_65 ,-2.3
Northern Arizona,L, 83_78 OT,-2.2
Southern Utah,L, 85_80 ,-7.6
Southern Utah,L, 83_67 ,-5.3
Northern Colorado,L, 74_54 ,-4.8
Northern Colorado,L, 75_61 ,-4.9
Weber St.,L, 81_56 ,-10.5
Weber St.,L, 81_62 ,-9.9
Eastern Washington,L, 89_75 ,-5.3
Eastern Washington,L, 90_64 ,-4.2
Idaho St.,L, 69_43 ,-13.7
Idaho St.,L, 64_58 OT,-0.4
Portland St.,L, 84_64 ,-9.2
Portland St.,L, 71_40 ,-6.8
Montana St.,W, 74_69 ,4.1
Montana St.,L, 71_61 ,-4.7
