Opponent,Results,Score,PlusMinus
North Dakota St.,W, 62_48 ,6.3
Nebraska,W, 69_66 ,-0.3
Pacific,W, 70_58 ,2.2
San Francisco,L, 85_60 ,-8.2
William Jessup,W, 86_64 ,-
Grand Canyon,L, 87_77 ,-2.5
San Diego,W, 79_72 ,2.9
Air Force,W, 74_57 ,8.8
Air Force,L, 68_66 ,1.5
New Mexico,W, 68_54 ,6
New Mexico,W, 84_74 ,3.2
San Diego St.,L, 65_60 ,-3.1
San Diego St.,L, 69_67 ,-4.2
Fresno St.,W, 73_57 ,6.4
Fresno St.,W, 79_65 ,6.9
Wyoming,L, 71_64 ,-6.6
Wyoming,L, 93_88 ,-4.2
UNLV,W, 89_60 ,15.4
UNLV,W, 72_62 ,-0.2
Boise St.,W, 74_72 ,-1.4
Boise St.,W, 73_62 ,1.7
Utah St.,L, 75_72 ,-9.9
Utah St.,L, 87_66 ,-12.1
Colorado St.,+0.2, 73_7249%,
