Opponent,Results,Score,PlusMinus
Missouri,L, 91_64 ,-11.9
Rogers St.,W, 93_63 ,-
Wichita St.,L, 85_80 ,0.3
Oklahoma St.,L, 83_78 ,-2.3
Southwestern Christ.,W, 111_58 ,-
Bacone,W, 96_65 ,-
Oklahoma,L, 79_65 ,-12.3
Arkansas,L, 87_76 ,1.6
Nebraska Omaha,W, 95_83 ,9.9
Nebraska Omaha,W, 86_75 ,-0.7
North Dakota,L, 72_71 ,2.8
North Dakota,W, 74_57 ,10.9
Denver,W, 88_84 ,2.2
Denver,W, 91_82 ,6.6
UMKC,W, 60_58 ,-2.8
UMKC,L, 81_76 ,-7.4
North Dakota St.,L, 61_54 ,-7
North Dakota St.,W, 80_74 ,6
South Dakota St.,W, 103_86 ,-0.2
South Dakota St.,L, 95_80 ,-3.9
South Dakota,L, 86_84 ,-3.7
Western Illinois,W, 85_81 ,-3.1
Western Illinois,W, 95_59 ,17.8
North Dakota,-7.5, 81_7376%,
