Opponent,Results,Score,PlusMinus
Missouri,L, 83_75 ,-9.2
Seton Hall,W, 83_70 ,6.5
Eastern Washington,W, 69_52 ,3.5
Florida A&M,W, 87_66 ,10.7
Washington,W, 74_71 ,5.2
San Francisco,W, 74_64 ,8.5
Portland,W, 80_41 ,16.7
California,W, 82_69 ,2.9
Stanford,W, 73_56 ,-0.1
Colorado,L, 79_72 ,-3.9
Utah,W, 79_73 ,-1.5
Oregon St.,L, 75_64 ,-6.4
Washington St.,L, 74_71 ,-4.2
Washington,W, 86_74 ,9.7
Arizona St.,W, 75_64 ,8.1
Arizona,W, 63_61 ,2.6
Colorado,W, 60_56 ,-1.4
Utah,W, 67_64 ,0.6
USC,L, 72_58 ,-16
Stanford,W, 71_68 ,-0.4
California,W, 74_63 ,7.4
Arizona,W, 80_69 ,4.9
UCLA,W, 82_74 ,-0.9
Oregon St.,-1.8, 69_6758%,
