Opponent,Results,Score,PlusMinus
Incarnate Word,W, 68_53 ,4.5
Our Lady of the Lake,W, 103_64 0OT,-
LeTourneau,W, 94_74 ,-
Houston Baptist,W, 86_64 ,15.6
New Mexico,L, 72_61 ,-5.1
Houston Baptist,W, 90_79 ,7.6
Sam Houston St.,L, 82_69 ,-2.3
New Orleans,W, 73_62 ,-1.4
UTSA,W, 95_86 ,-0.9
UTSA,W, 84_69 ,16.3
UTEP,L, 101_89 ,-7.4
UTEP,W, 71_68 ,2.3
Old Dominion,W, 69_59 ,10.4
Old Dominion,L, 61_58 ,-4.9
UAB,L, 78_68 ,-6.3
UAB,L, 86_74 ,-5.5
North Texas,L, 79_74 ,-0.9
North Texas,L, 79_53 ,-9.8
Southern Miss,W, 88_62 ,11.3
Southern Miss,W, 76_68 ,7.3
Western Kentucky,L, 77_71 ,-8.1
Western Kentucky,L, 89_66 ,-10.3
Louisiana Tech,L, 101_57 ,-20.6
Louisiana Tech,L, 79_58 ,-6.1
