Opponent,Results,Score,PlusMinus
Alabama,W, 82_64 ,7.5
North Carolina,L, 67_63 ,0.5
Indiana,L, 79_63 ,-6.7
North Carolina A&T,W, 78_46 ,14.7
Cal St. Northridge,W, 82_71 ,5
Arizona,W, 78_75 ,4.4
Cal St. Bakersfield,W, 63_50 ,7
Oregon,L, 73_56 ,0.1
Oregon St.,W, 81_71 ,4.3
Washington,W, 91_75 ,13.6
Washington St.,W, 75_60 ,5.6
Utah,L, 79_65 ,-6.4
Colorado,L, 77_64 ,-6.6
UCLA,W, 73_72 OT,2.6
Arizona,W, 73_64 ,1.1
Arizona St.,L, 79_75 ,-2.1
USC,L, 72_66 ,3.3
California,W, 70_55 ,6.5
California,W, 76_70 ,8.4
Colorado,L, 69_51 ,-9
Utah,W, 73_66 ,5.7
Washington,W, 79_61 ,11.1
Washington St.,L, 85_76 3OT,0.7
Oregon,L, 71_68 ,0.4
Oregon St.,L, 73_62 ,-0.9
USC,L, 79_42 ,-16.4
