Opponent,Results,Score,PlusMinus
Tex. Permian Basin,W, 97_71 ,-
UT Rio Grande Valley,L, 81_64 ,-5.8
Oklahoma,L, 105_66 ,-18.9
Sul Ross St.,W, 91_62 ,-
Oregon St.,L, 73_61 ,3.1
Our Lady of the Lake,W, 102_70 ,-
Lamar,W, 88_66 ,2.3
Rice,L, 95_86 ,0.9
Rice,L, 84_69 ,-16.3
North Texas,L, 77_70 ,-6
North Texas,W, 77_69 ,-0.3
Louisiana Tech,L, 77_66 ,-2.8
Louisiana Tech,L, 82_66 ,-8.2
Southern Miss,W, 70_64 ,7.3
Southern Miss,W, 78_72 ,6.1
UTEP,W, 86_79 ,5.8
UTEP,L, 69_51 ,-3.4
FIU,W, 87_80 ,4.5
FIU,W, 90_47 ,13.9
Florida Atlantic,W, 84_80 ,4.7
Florida Atlantic,W, 86_75 ,6.3
UAB,L, 64_57 ,-4
UAB,W, 96_79 ,7.1
