Opponent,Results,Score,PlusMinus
Point Park,W, 72_52 ,-
Binghamton,W, 79_65 ,-2.9
West Va. Tech,W, 80_66 ,-
Northern Kentucky,L, 79_64 ,-5.6
Northern Kentucky,W, 70_60 ,2.7
Cleveland St.,L, 87_69 ,-5.6
Cleveland St.,L, 81_74 ,5
Green Bay,W, 84_77 ,-1
Green Bay,L, 79_69 ,-0.6
Carlow,W, 109_56 ,-
Wright St.,W, 74_72 ,1.9
Wright St.,L, 93_55 ,-19
Oakland,L, 82_65 ,-2.2
Oakland,L, 81_74 ,-0.5
Illinois Chicago,L, 67_66 ,-1.1
Illinois Chicago,W, 85_77 ,8
Detroit,L, 78_75 ,-1.3
Detroit,L, 77_72 ,-1.9
Robert Morris,W, 84_78 OT,0.4
Robert Morris,W, 70_66 OT,4.5
Rochester Univ. (MI),W, 60_50 ,-
Fort Wayne,W, 84_70 ,8
Fort Wayne,W, 72_70 ,-0.8
IUPUI,L, 72_70 ,2.6
IUPUI,W, 77_70 ,5.6
Illinois Chicago,W, 74_58 ,6.5
Oakland,L, 87_83 OT,-4
