Opponent,Results,Score,PlusMinus
Michigan,L, 96_82 ,-8.1
South Carolina St.,W, 101_78 ,9.8
Appalachian St.,W, 78_76 OT,0.6
Purdue Northwest,W, 88_67 ,-
Buffalo,W, 86_78 ,-0.2
Wright St.,L, 85_67 ,-22.6
Robert Morris,W, 85_65 ,6.7
Ohio,W, 83_75 ,-5.2
Northern Illinois,W, 68_42 ,4.8
Central Michigan,W, 90_69 ,10.3
Central Michigan,W, 93_65 ,11.8
Ball St.,L, 88_64 ,-8.8
Buffalo,W, 76_69 ,8.4
Akron,L, 69_57 ,-4.5
Miami OH,L, 96_77 ,-10.6
Kent St.,L, 96_91 ,-1.8
Toledo,L, 84_66 ,-8.2
Western Michigan,L, 76_70 ,-8.3
Kent St.,L, 71_67 ,-2.2
Toledo,W, 88_81 ,3.8
Ball St.,W, 75_62 ,2.6
Eastern Michigan,W, 82_69 ,0.8
Akron,W, 83_71 ,1.5
Miami OH,L, 84_79 OT,-0.8
