Opponent,Results,Score,PlusMinus
Illinois Chicago,L, 74_72 ,-5.1
FIU,L, 96_76 ,-10.1
Flagler,L, 92_73 ,-
Western Illinois,W, 79_73 ,-0.3
Valparaiso,W, 84_79 ,5.1
St. Francis (IL),W, 91_39 ,-
Western Michigan,L, 76_61 ,-10.6
Olivet,W, 127_66 ,-
Eastern Michigan,W, 87_60 ,6.3
Bowling Green,L, 90_69 ,-10.3
Bowling Green,L, 93_65 ,-11.8
Kent St.,L, 94_85 ,-3.3
Eastern Michigan,W, 75_64 ,5.6
Toledo,L, 89_72 ,-7
Akron,L, 81_67 ,-5.7
Kent St.,L, 83_76 ,-3.8
Ohio,L, 83_69 ,-6.7
Western Michigan,L, 67_65 ,-2.8
Miami OH,L, 96_54 ,-25.4
Buffalo,L, 85_73 ,-7.7
Ball St.,L, 97_91 ,-3.4
Toledo,W, 81_79 ,-8.2
