Opponent,Results,Score,PlusMinus
Lamar,W, 89_45 ,13
Boise St.,W, 68_58 ,11
Texas Tech,W, 64_53 ,12.5
South Carolina,W, 77_67 ,1.8
Alcorn St.,W, 88_55 ,12.7
Temple,W, 76_50 ,12.7
UCF,W, 63_54 ,0.5
Tulsa,L, 65_64 ,0.7
SMU,W, 74_60 ,3.9
Wichita St.,W, 70_63 ,1.3
Tulane,W, 71_50 ,8.5
UCF,W, 75_58 ,20.3
Tulsa,W, 86_59 ,16.8
Temple,W, 68_51 ,12.2
Tulane,W, 83_60 ,19.5
SMU,W, 70_48 ,6.9
East Carolina,L, 82_73 ,-1.3
Our Lady of the Lake,W, 112_46 ,-
South Florida,W, 82_65 ,10.5
Wichita St.,L, 68_63 ,-0.1
Cincinnati,W, 90_52 ,16
Western Kentucky,W, 81_57 ,8.3
South Florida,W, 98_52 ,26
