Opponent,Results,Score,PlusMinus
Old Dominion,W, 85_67 ,9.8
Navy,W, 82_52 ,7.9
Mount St. Mary's,W, 79_61 ,2.5
Saint Peter's,W, 90_57 ,14.9
Clemson,L, 67_51 ,-14.7
Rutgers,L, 74_60 ,-5.2
La Salle,W, 84_71 ,9.1
Purdue,L, 73_70 ,-7.5
Wisconsin,W, 70_64 ,0
Michigan,L, 84_73 ,-5.2
Indiana,L, 63_55 ,1.6
Iowa,L, 89_67 ,-8
Illinois,W, 66_63 ,-1.2
Wingate,W, 100_58 ,-
Michigan,L, 87_63 ,-14.7
Minnesota,W, 63_49 ,8.5
Wisconsin,L, 61_55 ,-9
Purdue,W, 61_60 ,-1.9
Penn St.,L, 55_50 ,-1.1
Ohio St.,L, 73_65 ,-4.8
Minnesota,W, 72_59 ,12.9
Nebraska,W, 64_50 ,2.2
Nebraska,W, 79_71 ,6.1
Rutgers,W, 68_59 ,5.8
Michigan St.,W, 73_55 ,9
Northwestern,L, 60_55 ,-0.5
