Opponent,Results,Score,PlusMinus
Texas Tech,L, 101_58 ,-19
UT Arlington,L, 80_71 ,-9.4
Louisiana Tech,L, 91_77 ,-4.4
TCU,L, 74_68 ,-5.6
Louisiana Monroe,L, 92_83 OT,0.5
Champion Chris.,W, 77_44 ,-
Tulsa,L, 82_55 ,-13.7
Missouri St.,L, 94_67 ,-9.1
Gonzaga,L, 95_57 ,-13.3
Gonzaga,L, 95_78 ,-17.6
Washington St.,L, 62_52 ,-8.8
Houston Baptist,L, 99_93 OT,3
Incarnate Word,L, 75_67 ,-6.8
McNeese St.,W, 78_75 ,1.2
Nicholls St.,L, 76_66 ,-0.8
Stephen F. Austin,L, 86_74 ,-7.3
Southeastern Louisiana,W, 73_68 ,9
New Orleans,W, 81_73 ,0.3
Central Arkansas,W, 81_77 ,0.2
Incarnate Word,W, 68_67 ,0.8
McNeese St.,W, 69_66 ,-0.9
Houston Baptist,W, 86_80 ,5.5
Stephen F. Austin,L, 83_57 ,-9.2
Southeastern Louisiana,W, 79_61 ,15.5
Nicholls St.,L, 87_71 ,-11
New Orleans,L, 92_83 ,1
Central Arkansas,-4, 81_7764%,
