Opponent,Results,Score,PlusMinus
Illinois St.,W, 94_67 ,18.6
UMass Lowell,W, 74_64 ,2.1
Morehead St.,W, 77_44 ,9.3
Notre Dame,W, 90_85 ,-2.3
Cleveland St.,W, 67_61 ,5.4
Purdue,L, 67_60 ,-5
UCLA,W, 77_70 ,0.8
Rutgers,W, 80_68 ,-6
Northwestern,L, 71_70 ,2.3
Nebraska,W, 90_54 ,12.8
Minnesota,L, 77_60 ,-7.6
Rutgers,W, 79_68 ,9.5
Northwestern,W, 81_71 ,5.9
Illinois,W, 87_81 ,9.9
Purdue,L, 67_65 ,4.2
Wisconsin,W, 74_62 ,7.8
Penn St.,W, 83_79 ,3.2
Michigan St.,W, 79_62 ,9.2
Iowa,W, 89_85 ,-0.3
Maryland,W, 73_65 ,4.8
Indiana,W, 78_59 ,10
Penn St.,W, 92_82 ,3.3
Michigan,L, 92_87 ,-0.6
Michigan St.,L, 71_67 ,2.3
Iowa,L, 73_57 ,-8
