Opponent,Results,Score,PlusMinus
UCLA,W, 73_58 ,5.1
UC Irvine,W, 77_58 ,6.4
St. Katherine,W, 83_41 ,-
Pepperdine,W, 65_60 ,-7.3
Arizona St.,W, 80_68 ,5.9
BYU,L, 72_62 ,-7.9
Saint Mary's,W, 74_49 ,15.3
Colorado St.,L, 70_67 ,9.9
Colorado St.,W, 78_65 ,17.8
Nevada,W, 65_60 ,3.1
Nevada,W, 69_67 ,4.2
Utah St.,L, 57_45 ,-6.6
Utah St.,L, 64_59 ,-0.5
Air Force,W, 98_61 ,24.9
Air Force,W, 91_59 ,12.7
Wyoming,W, 87_57 ,23.9
Wyoming,W, 98_71 ,17.3
San Jose St.,W, 85_54 ,11.3
San Jose St.,W, 77_55 ,6.4
Fresno St.,W, 67_53 ,9
Fresno St.,W, 75_57 ,11.1
Boise St.,W, 78_66 OT,8.6
Boise St.,W, 62_58 ,3.5
UNLV,W, 71_62 ,6.9
