Opponent,Results,Score,PlusMinus
West Virginia,L, 79_71 ,-4.1
Utah St.,W, 83_59 ,12.2
Saint Mary's,L, 72_59 ,-14.3
Iowa St.,W, 71_68 ,8.8
Bradley,W, 88_84 ,-2
North Dakota St.,W, 77_75 ,6.3
North Dakota,W, 74_62 ,6.7
South Dakota,L, 91_78 ,-14.2
Mt. Marty,W, 93_50 ,-
Western Illinois,W, 83_77 ,6.7
Western Illinois,W, 92_63 ,3.6
North Dakota,W, 92_73 ,13.7
North Dakota,W, 85_74 ,7.7
South Dakota,L, 64_56 ,-4.7
South Dakota,W, 89_78 ,-3.7
Oral Roberts,L, 103_86 ,0.2
Oral Roberts,W, 95_80 ,3.9
North Dakota St.,W, 68_67 ,5
North Dakota St.,L, 84_82 ,-10.8
UMKC,W, 67_49 ,4.6
UMKC,W, 89_77 ,5.7
Nebraska Omaha,-13.6, 85_7188%,
