Opponent,Results,Score,PlusMinus
Mary Hardin-Baylor,W, 98_59 ,-
Texas A&M Corpus Chris,W, 75_63 ,3.3
Mississippi St.,L, 68_51 ,-5.4
Incarnate Word,W, 72_64 ,0.2
Texas,L, 74_53 ,-9.4
Our Lady of the Lake,L, 61_58 ,-
Texas A&M Corpus Chris,W, 51_46 ,1.6
Denver,W, 70_68 ,-7.2
Northern Arizona,W, 70_65 ,2.7
Louisiana Lafayette,L, 83_77 OT,1.9
Louisiana Lafayette,W, 71_59 ,1.4
Little Rock,W, 63_59 ,11
Little Rock,W, 67_56 ,5
Louisiana Monroe,W, 57_47 ,12.3
Louisiana Monroe,W, 69_63 ,6.3
Louisiana Lafayette,L, 62_60 ,-3.8
Louisiana Lafayette,L, 74_73 ,-0.6
Little Rock,W, 57_47 ,7.5
Little Rock,W, 77_67 OT,9.1
UT Arlington,W, 63_56 ,3.7
UT Arlington,W, 79_68 ,10.3
Arkansas St.,W, 57_52 ,-1.6
Louisiana Monroe,W, 58_49 ,9
Louisiana Monroe,W, 61_57 ,1.4
