Name_LowerRank,GamesPlayed_LowerRank,ConfRecord_LowerRank,TotalRecord_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,2PFGOff_LowerRank,2PFGDef_LowerRank,3PFGOff_LowerRank,3PFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Name_HigherRank,GamesPlayed_HigherRank,ConfRecord_HigherRank,TotalRecord_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,2PFGOff_HigherRank,2PFGDef_HigherRank,3PFGOff_HigherRank,3PFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Utah Valley,31,6_8,17_17,99.5,98.6,20.4,17.4,52.9,47.1,32.3,32.6,37.3,35.2,151,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,23, 92_69 ,12.2
San Diego St.,32,9_9,19_14,103.2,93.4,17.5,19.0,47.5,42.9,31.6,32.1,35.3,32.4,73,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,21, 69_48 ,11.0
Bryant,31,9_9,12_20,100.1,111.6,18.8,17.6,49.2,52.1,33.7,33.6,32.8,37.4,290,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,39, 109_70 ,12.2
Quinnipiac,31,7_13,10_21,100.7,112.7,19.2,16.8,47.4,50.5,32.6,38.0,33.0,38.2,299,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,20, 82_62 ,8.7
Florida,36,14_4,27_9,116.6,88.9,16.9,21.0,50.3,45.7,35.9,30.5,40.2,34.0,4,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,5, 77_72 ,-1.6
Iowa St.,35,12_6,24_11,120.0,96.2,14.1,19.5,51.8,47.5,40.0,34.6,27.6,25.6,18,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,2, 73_71 ,6.9
Mississippi Valley St.,32,7_11,7_25,94.6,118.8,19.7,19.5,44.9,56.0,34.3,38.1,33.5,37.8,342,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,34, 97_63 ,15.0
Arizona,37,16_2,32_5,117.6,95.6,16.6,17.4,51.5,48.4,39.0,31.0,40.5,28.6,24,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,7, 69_62 ,11.0
Washington,31,2_16,9_22,105.9,105.4,18.8,16.4,49.4,49.6,35.4,39.9,30.8,34.7,156,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,27, 98_71 ,20.0
Akron,35,14_4,27_9,111.1,105.4,17.2,16.7,55.0,49.0,36.8,36.8,37.3,32.9,103,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,18, 61_43 ,5.2
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46.0,46.2,32.4,35.5,42.9,43.3,55,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,10, 86_76 ,12.3
South Dakota,32,12_4,22_12,102.8,102.9,16.2,18.5,48.8,47.7,34.2,37.5,42.7,31.9,168,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,37, 102_65 ,16.0
Pepperdine,30,5_13,9_22,101.6,113.1,18.0,15.7,46.9,53.1,37.5,42.0,29.5,28.9,289,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,30, 92_62 ,7.2
Pacific,32,4_14,11_22,98.8,105.5,17.0,16.5,42.9,51.8,32.5,35.7,34.6,40.9,236,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,20, 81_61 ,1.8
San Francisco,32,10_8,20_13,102.0,95.2,18.3,19.4,52.5,46.4,34.7,33.8,27.2,33.9,89,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,15, 95_80 ,10.3
Loyola Marymount,29,8_10,15_15,101.6,102.2,19.0,21.5,48.9,51.1,35.2,36.1,30.9,43.3,173,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,38, 93_55 ,10.1
Saint Mary's,34,16_2,29_5,118.0,93.8,17.5,15.3,56.9,45.4,39.4,30.0,27.8,26.6,14,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,23, 79_56 ,5.7
Santa Clara,32,10_8,17_16,105.8,101.4,15.9,19.0,47.9,49.3,38.3,38.0,24.0,35.2,112,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,31, 88_57 ,12.7
Portland,31,2_16,11_22,97.5,106.7,19.2,16.8,43.2,49.2,37.0,36.3,37.6,30.5,272,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,21, 73_52 ,10.6
Portland,31,2_16,11_22,97.5,106.7,19.2,16.8,43.2,49.2,37.0,36.3,37.6,30.5,272,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,19, 83_64 ,12.8
San Diego,30,6_12,13_18,98.5,107.5,18.7,15.1,45.0,50.9,34.7,36.3,35.5,36.5,269,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,36, 79_43 ,14.5
Pepperdine,30,5_13,9_22,101.6,113.1,18.0,15.7,46.9,53.1,37.5,42.0,29.5,28.9,289,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,47, 96_49 ,17.9
BYU,34,12_6,22_12,108.2,99.5,18.2,16.2,50.9,47.5,34.4,32.4,42.3,31.1,82,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,10, 85_75 ,11.1
Santa Clara,32,10_8,17_16,105.8,101.4,15.9,19.0,47.9,49.3,38.3,38.0,24.0,35.2,112,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,35, 90_55 ,9.2
Loyola Marymount,29,8_10,15_15,101.6,102.2,19.0,21.5,48.9,51.1,35.2,36.1,30.9,43.3,173,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,30, 90_60 ,12.9
Saint Mary's,34,16_2,29_5,118.0,93.8,17.5,15.3,56.9,45.4,39.4,30.0,27.8,26.6,14,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,10, 74_64 ,8.5
San Francisco,32,10_8,20_13,102.0,95.2,18.3,19.4,52.5,46.4,34.7,33.8,27.2,33.9,89,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,35, 96_61 ,6.8
Pacific,32,4_14,11_22,98.8,105.5,17.0,16.5,42.9,51.8,32.5,35.7,34.6,40.9,236,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,21, 82_61 ,10.9
San Diego,30,6_12,13_18,98.5,107.5,18.7,15.1,45.0,50.9,34.7,36.3,35.5,36.5,269,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,58, 96_38 ,20.2
BYU,34,12_6,22_12,108.2,99.5,18.2,16.2,50.9,47.5,34.4,32.4,42.3,31.1,82,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,L,-8, 79_71 ,5.9
Pacific,32,4_14,11_22,98.8,105.5,17.0,16.5,42.9,51.8,32.5,35.7,34.6,40.9,236,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,32, 82_50 ,6.8
Santa Clara,32,10_8,17_16,105.8,101.4,15.9,19.0,47.9,49.3,38.3,38.0,24.0,35.2,112,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,9, 77_68 ,6.3
Saint Mary's,34,16_2,29_5,118.0,93.8,17.5,15.3,56.9,45.4,39.4,30.0,27.8,26.6,14,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,18, 74_56 ,10.4
South Dakota St.,33,8_8,18_17,108.2,109.7,18.4,16.2,52.7,52.4,35.8,36.9,39.9,27.1,184,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,20, 66_46 ,4.2
Northwestern,36,10_8,24_12,111.2,95.2,16.0,17.9,48.8,44.0,34.2,33.3,30.5,36.1,39,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,6, 79_73 ,11.5
West Virginia,37,12_6,28_9,115.4,89.3,17.0,27.6,49.8,46.5,36.2,35.3,38.9,42.5,6,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,3, 61_58 ,2.4
Xavier,38,9_9,24_14,115.6,97.9,18.4,17.5,52.0,52.5,34.5,33.4,41.1,33.4,35,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,24, 83_59 ,9.4
South Carolina,36,12_6,26_11,108.7,89.0,18.4,24.3,45.9,45.4,33.4,30.6,40.2,44.5,25,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,W,4, 77_73 ,4.7
North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40.0,38.2,29.0,39.0,26.9,1,L,-6, 71_65 ,0.7
Tulane,31,3_15,6_25,103.3,106.5,18.8,19.7,45.2,51.9,32.4,38.1,34.3,40.8,202,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,20, 95_75 ,10.3
Chattanooga,29,10_8,19_12,105.3,101.2,19.8,21.4,53.3,49.7,33.1,35.3,40.3,37.2,115,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,40, 97_57 ,8.4
Long Beach St.,32,9_7,15_19,104.3,107.9,19.9,18.6,47.0,51.3,35.1,37.9,36.2,37.7,204,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,26, 93_67 ,17.1
Hawaii,29,8_8,14_16,96.6,103.6,20.3,20.3,48.6,50.9,32.1,33.8,36.9,38.3,243,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,15, 83_68 ,7.3
Oklahoma St.,32,9_9,20_13,126.8,102.3,18.2,20.3,50.4,52.4,40.3,36.4,37.4,45.4,21,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,32, 107_75 ,14.8
Wisconsin,37,12_6,27_10,114.5,92.0,17.0,19.5,51.1,43.1,35.9,37.6,32.9,28.0,19,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,15, 71_56 ,8.7
Indiana,34,7_11,18_16,115.4,99.9,21.4,15.7,54.1,47.7,38.0,33.7,34.1,36.8,43,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,L,-9, 76_67 ,-9.8
Radford,30,8_10,14_18,95.0,107.6,22.4,15.1,44.6,49.9,34.6,35.9,29.5,30.0,308,North Carolina,39,14_4,33_7,121.0,91.5,16.2,18.6,51.0,46.3,35.5,33.9,34.3,31.6,2,W,45, 95_50 ,19.0
