Name_HigherRank,GamesPlayed_HigherRank,ConfWins_HigherRank,ConfLosses_HigherRank,TotalWins_HigherRank,TotalLosses_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,TwoPFGOff_HigherRank,TwoPFGDef_HigherRank,ThreePFGOff_HigherRank,ThreePFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Name_LowerRank,GamesPlayed_LowerRank,ConfWins_LowerRank,ConfLosses_LowerRank,TotalWins_LowerRank,TotalLosses_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,TwoPFGOff_LowerRank,TwoPFGDef_LowerRank,ThreePFGOff_LowerRank,ThreePFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Idaho St.,28,7,13,11,19,103.9,117.5,17.6,15,50.4,54.2,36.2,39.6,28.8,30.6,311,W,41, 120_79 ,15.9
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Texas Southern,36,14,4,24,14,104,109.8,19.8,19.9,52.2,51.1,32.1,35,40.8,32.6,229,W,37, 104_67 ,14.5
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Texas A&M,32,6,12,14,18,107.2,99.6,20,18.5,51,49.1,30.8,33.1,34.2,27,83,W,23, 94_71 ,8.5
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Illinois,33,7,13,12,21,110.5,100.4,18.4,21.8,48.2,53.6,34.5,33,29.5,42.4,70,W,6, 84_78 ,5.2
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Arizona,32,8,10,17,15,104.9,98.5,16.7,20.3,48.1,51.9,33.6,32.9,33.3,35,95,W,17, 91_74 ,-1.3
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Duke,38,14,4,32,6,119.6,90.4,17.5,19.4,58,45,30.8,29.9,33.2,24,5,W,2, 89_87 ,7
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,North Dakota St.,33,9,7,19,16,107.7,110,15.7,14.4,52.1,52.6,36.7,37,32.2,26.5,192,W,42, 102_60 ,16.9
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Creighton,34,9,9,20,15,111.8,98.2,18.6,19.1,55.7,52.9,37.9,35,29,27.9,48,W,11, 103_92 ,-1
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Washington,36,15,3,27,9,106.5,94.2,19.8,24.2,51.9,46,35,33.4,34.7,34,51,W,2, 81_79 ,5
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Tennessee,36,15,3,31,6,123.5,96.5,15.8,18,55.4,44.7,36.7,35.4,33.3,34.9,10,L,-3, 76_73 ,0.7
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,North Carolina,36,16,2,29,7,120.8,92.6,17.2,18.3,52.1,47.9,36.2,33.5,30.2,28.4,7,L,-13, 103_90 ,-9.3
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,UT Arlington,32,12,6,17,16,101.5,99.9,20.3,18.1,47.9,50,30.5,29.9,34.5,38,146,W,34, 89_55 ,13.8
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Denver,29,3,13,8,22,99.4,112.4,19.7,15.7,47.8,51.7,36.2,41.8,26.2,28.3,312,W,61, 101_40 ,28
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,North Alabama,29,7,9,10,22,95.1,105.8,19.3,17.2,44.4,52.6,29.7,35.1,30.8,38,299,W,45, 96_51 ,27.7
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Cal St. Bakersfield,31,7,9,18,16,102.5,108.2,19,20.1,46.7,49.5,31,36,29.2,52.5,227,W,35, 89_54 ,13
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Santa Clara,30,8,8,16,15,101.3,103.4,20.5,16.3,49.8,49.9,36.2,31.8,33.9,35.2,190,W,43, 91_48 ,17.8
Gonzaga,37,16,0,33,4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9,1,Pacific,30,4,12,14,18,99.5,103.6,19.6,19.2,44.9,54.1,35.6,36.2,40.5,42.2,216,W,31, 67_36 ,12.3
